id,artist_id,recording_id,work_id,release_id,type
7dcaf41b-76de-4be6-84d3-83f53a00d898,04879272-ac1e-4704-b069-6beaa364f8a2,NULL,6eca631f-e341-41b7-92fe-ec553ccf5634,NULL,composer
9a59236b-360c-43c7-a8c8-d75963eee933,6997e310-eae8-4d4b-b07e-79197a072648,c2bc63e2-2715-4a7b-88d7-373279eef68e,NULL,NULL,performer
91b5760c-e7de-4df1-9fea-63afb3bbe72d,5efa8fda-dd53-4c3c-9789-f8d9676fd2d4,c2bc63e2-2715-4a7b-88d7-373279eef68e,NULL,NULL,conductor
0abf9d78-50c7-4a23-83b4-25f9096da226,d2af4f28-85e4-4682-b17e-d62349e89688,NULL,d61d5652-5c11-4f02-bd0a-5f73cb9a6f4a,NULL,composer
346ecf46-d158-4d63-8c0a-bdbd1c6a8594,7694fb8b-7ffa-4b3f-8611-e1ab4d6b7149,NULL,d61d5652-5c11-4f02-bd0a-5f73cb9a6f4a,NULL,composer
9501102b-facf-48b9-be53-33237fa20b7a,94d39a58-79bb-4c9e-9e6d-4748a02e124c,NULL,d61d5652-5c11-4f02-bd0a-5f73cb9a6f4a,NULL,composer
5aebc2ab-6a40-43ce-9f3b-44bf000ad8a4,6997e310-eae8-4d4b-b07e-79197a072648,NULL,d61d5652-5c11-4f02-bd0a-5f73cb9a6f4a,NULL,composer
b6796eb1-bcea-4fac-9acc-adf6082f13ab,6997e310-eae8-4d4b-b07e-79197a072648,0e193ea5-190a-4a52-b3c6-28ba81e463fb,NULL,NULL,performer
64dd7ccf-bd6f-4ada-a7db-b167bb67b03c,23318412-a589-4504-be65-cb5d1f6e5c08,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
6014ec6c-051a-49cd-9833-87a00531ddc6,98e4ef2e-57d1-4702-ab6b-1fc1ed2d9039,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
7b7769c4-439b-48ce-bb71-bf3b1982845f,4771630a-6293-4976-8961-d2dc40c04d86,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
8a26521a-5831-4165-b73f-3d75c36efce6,fd98648a-aa55-4d8a-8513-0315a5fe338c,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
6b867f94-002f-458a-ab56-878eb3dded14,d5a7ed7e-4cd8-4f3b-a088-a490902f377a,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
db9f3068-199a-4607-846d-c0131ad0ef0f,8cdcea3f-af42-4652-acd3-b6a5c266abdd,NULL,daae31c3-bc93-4e61-aa14-6a4de35f9f17,NULL,composer
d54fdc1c-cab5-4628-93ef-14db3a659860,61ee8eb9-0650-444c-9d77-056d45741701,6508da73-0817-49a8-99ec-5be35608f388,NULL,NULL,performer
6f510545-ad84-4bb2-96df-36c7473ed08d,ab23dbe3-a685-491e-b849-f6d97f9687fc,NULL,d3dbbe93-4905-44ae-a049-f26a4627422c,NULL,composer
ab767072-4ee3-460b-9d5c-a2b5c9892a47,bc395728-de32-44fd-8af0-dd6dc932549e,8f426aa1-f616-47e1-bd1f-96deada00999,NULL,NULL,performer
1552e6f4-7161-4c05-ac93-64ac39e2510d,715c8b0e-1798-4b2c-be84-7e54f7d060c0,8f426aa1-f616-47e1-bd1f-96deada00999,NULL,NULL,conductor