id,release_id,recording_id,medium_id,number,last_updated,last_updated_by
da6fcc0c-7a2b-4550-91af-df6fbda67f0d,29a5faa9-027c-4f38-9550-7364d9d1a470,138dfcff-047c-40e5-a66a-41e30cc80ffe,8242f003-0ddf-4f84-b702-2a986f73d8d5,1,2011-10-16,testdataloader
95b42301-ead7-4acc-a9f1-22285182a3bc,29a5faa9-027c-4f38-9550-7364d9d1a470,fffb752d-d07b-4c42-8436-a169efd90717,8242f003-0ddf-4f84-b702-2a986f73d8d5,2,2011-10-16,testdataloader
ec958e50-9973-466a-b1aa-4e939307cbf2,29a5faa9-027c-4f38-9550-7364d9d1a470,e52b6a6b-6bb5-4c3a-ace3-e8741895e6ec,8242f003-0ddf-4f84-b702-2a986f73d8d5,3,2011-10-16,testdataloader
df756ae2-ef68-4a39-90da-fca30e70644d,29a5faa9-027c-4f38-9550-7364d9d1a470,312a635c-a676-48fc-a604-5445b32390cb,8242f003-0ddf-4f84-b702-2a986f73d8d5,4,2011-10-16,testdataloader
8c17fe7c-9aec-4c16-bcc6-05ee4aa384b7,29a5faa9-027c-4f38-9550-7364d9d1a470,b14200ab-d397-4b9a-b985-427744b8cec5,8242f003-0ddf-4f84-b702-2a986f73d8d5,5,2011-10-16,testdataloader
f149674c-9cac-4cdb-ae63-6c778903cf2f,29a5faa9-027c-4f38-9550-7364d9d1a470,a5871e89-60ee-40eb-b59c-4d3776e7f4a1,8242f003-0ddf-4f84-b702-2a986f73d8d5,6,2011-10-16,testdataloader
f51930df-2199-4f5c-88fb-26984c139833,29a5faa9-027c-4f38-9550-7364d9d1a470,61465b2c-17c3-4c17-be23-648a79edc64d,8242f003-0ddf-4f84-b702-2a986f73d8d5,7,2011-10-16,testdataloader
591ddecc-1ee8-446a-9e08-de13ba83a468,29a5faa9-027c-4f38-9550-7364d9d1a470,d4139eb5-a8a3-4d5b-9e43-d59013c29e57,8242f003-0ddf-4f84-b702-2a986f73d8d5,8,2011-10-16,testdataloader
f54e6709-0663-45bf-8567-2fdb78001b43,29a5faa9-027c-4f38-9550-7364d9d1a470,fd34c8a4-82aa-458d-b499-44add7f76b5f,8242f003-0ddf-4f84-b702-2a986f73d8d5,9,2011-10-16,testdataloader
f18d4127-b730-4a58-be40-68c899df9c73,29a5faa9-027c-4f38-9550-7364d9d1a470,9d694d59-76d4-48e9-8c6d-fc09683c24f1,8242f003-0ddf-4f84-b702-2a986f73d8d5,10,2011-10-16,testdataloader
4c4602bb-305e-4902-9f1a-4ddfa92ab0d7,29a5faa9-027c-4f38-9550-7364d9d1a470,d780d365-38a9-4d41-9ed0-02ce80afce9f,8242f003-0ddf-4f84-b702-2a986f73d8d5,11,2011-10-16,testdataloader
dc87213b-5642-4f81-969f-2d05101435cc,29a5faa9-027c-4f38-9550-7364d9d1a470,49cc60b9-87af-4693-9f7c-abc7a60c762d,8242f003-0ddf-4f84-b702-2a986f73d8d5,12,2011-10-16,testdataloader
93a73b81-242c-4f70-afeb-7867eb47a1bd,29a5faa9-027c-4f38-9550-7364d9d1a470,1d8b7ba5-5e40-4636-bd88-658b806bb63d,8242f003-0ddf-4f84-b702-2a986f73d8d5,13,2011-10-16,testdataloader
18848008-ada2-4b50-b9e9-e7e7ffb8b69b,29a5faa9-027c-4f38-9550-7364d9d1a470,06cf257b-5281-4eff-a0c7-6f71dba0fb32,752ca856-7bb4-472b-9f12-5e45a0fd8095,1,2011-10-16,testdataloader
f4799d39-3e07-4daf-9112-21d5ae0cede4,29a5faa9-027c-4f38-9550-7364d9d1a470,b4debda0-36ca-4384-9252-a9dea809bfa2,752ca856-7bb4-472b-9f12-5e45a0fd8095,2,2011-10-16,testdataloader
6f02ef00-dab3-4679-a2a9-2cb4004f468e,29a5faa9-027c-4f38-9550-7364d9d1a470,f75c5149-59ff-47bf-90fc-7f2139a3f01d,752ca856-7bb4-472b-9f12-5e45a0fd8095,3,2011-10-16,testdataloader
b7db2bac-dc1b-409f-b5b9-84c1b7399119,29a5faa9-027c-4f38-9550-7364d9d1a470,745871ae-0b3b-4d01-a8bd-292020b344e1,752ca856-7bb4-472b-9f12-5e45a0fd8095,4,2011-10-16,testdataloader
57ff4a7b-75f1-4e75-be30-a43885be4904,29a5faa9-027c-4f38-9550-7364d9d1a470,ef0ae46d-7c18-4186-8d41-798a81542121,752ca856-7bb4-472b-9f12-5e45a0fd8095,5,2011-10-16,testdataloader
422af411-2db8-45df-bef6-6172bdcbc702,29a5faa9-027c-4f38-9550-7364d9d1a470,00448d5f-0632-457f-bc59-a89cffc8e437,752ca856-7bb4-472b-9f12-5e45a0fd8095,6,2011-10-16,testdataloader
24dcdac3-3ce1-4ed7-9735-60a402c6cddc,29a5faa9-027c-4f38-9550-7364d9d1a470,1ebecea7-092a-49b0-ad82-45eeb8d61736,752ca856-7bb4-472b-9f12-5e45a0fd8095,7,2011-10-16,testdataloader
d6e65f8a-e6be-4624-8bfe-f7dde612696a,29a5faa9-027c-4f38-9550-7364d9d1a470,9799dd22-8005-452a-96ae-5b1cc84b664f,752ca856-7bb4-472b-9f12-5e45a0fd8095,8,2011-10-16,testdataloader
fe03792f-4e3e-4c7e-b2e1-ed28831a6761,29a5faa9-027c-4f38-9550-7364d9d1a470,cdd52551-6bf4-44b2-a140-9d26543d5a73,752ca856-7bb4-472b-9f12-5e45a0fd8095,9,2011-10-16,testdataloader
86daadab-a4da-4ea8-b0f9-e61030b2f84f,29a5faa9-027c-4f38-9550-7364d9d1a470,c3b3015c-28ae-4269-8688-8831f9bb4852,752ca856-7bb4-472b-9f12-5e45a0fd8095,10,2011-10-16,testdataloader
c3786368-fc6d-44aa-bdb3-36314e9159d6,29a5faa9-027c-4f38-9550-7364d9d1a470,4ddb9285-502b-4fdd-83fc-f22b0ef12975,752ca856-7bb4-472b-9f12-5e45a0fd8095,11,2011-10-16,testdataloader
7d010477-74e2-4692-aa5c-f086a1611519,29a5faa9-027c-4f38-9550-7364d9d1a470,57dd95e8-5720-4984-bef8-4ecd2b39b6d2,752ca856-7bb4-472b-9f12-5e45a0fd8095,12,2011-10-16,testdataloader
c4cebb3e-c209-4d19-9962-539a80afb6be,29a5faa9-027c-4f38-9550-7364d9d1a470,16c47a8e-b8e4-4e9d-9720-f13ebf65ee34,752ca856-7bb4-472b-9f12-5e45a0fd8095,13,2011-10-16,testdataloader
e8a4bc62-5a79-4844-bd98-a8d681b31243,29a5faa9-027c-4f38-9550-7364d9d1a470,39cc7682-f034-4d7a-a8f2-0e348f2917c8,752ca856-7bb4-472b-9f12-5e45a0fd8095,14,2011-10-16,testdataloader
e4644b6a-f9d7-4a55-a261-b659cc979f15,29a5faa9-027c-4f38-9550-7364d9d1a470,11f31fa2-83ba-4821-897b-94ba85678335,752ca856-7bb4-472b-9f12-5e45a0fd8095,15,2011-10-16,testdataloader
e4c50b7f-02de-4f8b-a1a3-d713fc2bd3ec,29a5faa9-027c-4f38-9550-7364d9d1a470,31975e66-d59d-4fb5-9b3f-702bf7462638,752ca856-7bb4-472b-9f12-5e45a0fd8095,16,2011-10-16,testdataloader
19b04816-4763-4ea8-b83f-6dac3876bf22,29a5faa9-027c-4f38-9550-7364d9d1a470,2a076e9e-6c26-4978-a2a3-6bb494881468,752ca856-7bb4-472b-9f12-5e45a0fd8095,17,2011-10-16,testdataloader
98f6201c-7cdf-40f0-9009-2033a78cbcd1,29a5faa9-027c-4f38-9550-7364d9d1a470,0af63c93-394f-413e-a4ae-b21ffa7eb861,752ca856-7bb4-472b-9f12-5e45a0fd8095,18,2011-10-16,testdataloader
c5bd6f42-9f7d-4f42-80ef-52d94b62a4b5,29a5faa9-027c-4f38-9550-7364d9d1a470,8d9a6d42-166f-4c60-a931-18580bec1fa6,cc5e3da6-9447-41aa-93f8-5e1369dc3486,1,2011-10-16,testdataloader
fec17104-2b23-4643-a309-3e343029d7c7,29a5faa9-027c-4f38-9550-7364d9d1a470,19c5f790-2def-4927-b7f7-ec2bbe09098d,cc5e3da6-9447-41aa-93f8-5e1369dc3486,2,2011-10-16,testdataloader
980b9368-040c-4761-ace8-2724f432634d,29a5faa9-027c-4f38-9550-7364d9d1a470,794a0036-9080-4f2e-a786-250a53794ed1,cc5e3da6-9447-41aa-93f8-5e1369dc3486,3,2011-10-16,testdataloader
78d0deb0-8626-43e5-a963-b2f7a1c5519a,29a5faa9-027c-4f38-9550-7364d9d1a470,fea1ab1e-2eab-4555-985f-b820ecb0bf6f,cc5e3da6-9447-41aa-93f8-5e1369dc3486,4,2011-10-16,testdataloader
882f6e49-fafc-4325-85bd-fa6fdb5d3903,29a5faa9-027c-4f38-9550-7364d9d1a470,b188044a-d745-4a37-bdd2-689efa069913,cc5e3da6-9447-41aa-93f8-5e1369dc3486,5,2011-10-16,testdataloader
771aa47f-4994-4a53-8edb-e13b987c3866,29a5faa9-027c-4f38-9550-7364d9d1a470,452366b6-e97d-4731-8fbe-b9c88f2442eb,cc5e3da6-9447-41aa-93f8-5e1369dc3486,6,2011-10-16,testdataloader
886ed57f-6c36-45cd-83c4-280be56efa9e,29a5faa9-027c-4f38-9550-7364d9d1a470,9614ae37-d774-4999-a562-6910e211d1f8,cc5e3da6-9447-41aa-93f8-5e1369dc3486,7,2011-10-16,testdataloader
97781126-11e4-4960-bf45-9b93cfed1f10,29a5faa9-027c-4f38-9550-7364d9d1a470,88f91d0d-d38e-46c0-8de9-86978cc320b8,cc5e3da6-9447-41aa-93f8-5e1369dc3486,8,2011-10-16,testdataloader
5a089876-0040-4c7e-ba1a-25dacfc96bd5,29a5faa9-027c-4f38-9550-7364d9d1a470,1aa2eae1-f7c9-4cc8-b428-1e662e5630df,cc5e3da6-9447-41aa-93f8-5e1369dc3486,9,2011-10-16,testdataloader
bdf3ebb6-c0ac-42ee-a50d-dd36428e4b87,29a5faa9-027c-4f38-9550-7364d9d1a470,2fb8d4f8-aa62-4779-83a0-de888d10bb35,cc5e3da6-9447-41aa-93f8-5e1369dc3486,10,2011-10-16,testdataloader
a387439f-4c58-4b3f-8f3f-b8f5db663724,29a5faa9-027c-4f38-9550-7364d9d1a470,dfbe674d-8ae6-46d2-9538-94e832c6bc86,cc5e3da6-9447-41aa-93f8-5e1369dc3486,11,2011-10-16,testdataloader
